,0
0,PolySciMajor
1,EPA
2,chief
3,does
4,n't
5,think
6,carbon
7,dioxide
8,is
9,main
10,cause
11,of
12,global
13,warming
14,and
15,..
16,wait
17,","
18,what
19,!
20,?
21,https://t.co/yeLvcEFXkC
22,via
23,@mashable
24,It
25,'s
26,not
27,like
28,we
29,lack
30,evidence
31,anthropogenic
32,RT
33,@RawStory
34,:
35,Researchers
36,say
37,have
38,three
39,years
40,to
41,act
42,on
43,climate
44,change
45,before
46,it
47,’s
48,too
49,late
50,https://t.co/WdT0KdUr2f
51,https://t.co/Z0ANPT
52,…
53,#
54,TodayinMaker
55,WIRED
56,2016
57,was
58,a
59,pivotal
60,year
61,in
62,the
63,war
64,https://t.co/44wOTxTLcD
65,@SoyNovioDeTodas
66,racist
67,sexist
68,denying
69,bigot
70,leading
71,polls
72,.
73,ElectionNight
74,Worth
75,read
76,whether
77,you
78,do
79,or
80,believe
81,https://t.co/ggLZVNYjun
82,https://t.co/7AFE2mAH8j
83,@thenation
84,Mike
85,Pence
86,n’t
87,that
88,smoking
89,causes
90,lung
91,cancer
92,https://t.co/gvWYaauU8R
93,@makeandmendlife
94,Six
95,big
96,things
97,can
98,ALL
99,today
100,fight
101,how
102,be
103,activistÃ¢â‚¬Â
104,¦
105,https://t.co/TYMLu6DbNM
106,hÃ¢â‚¬Â
107,@AceofSpadesHQ
108,My
109,8yo
110,nephew
111,inconsolable
112,He
113,wants
114,die
115,old
116,age
117,me
118,but
119,will
120,perish
121,fiery
122,hellscape
123,@paigetweedy
124,no
125,offense
126,just
127,……
128,@StephenSchlegel
129,she
130,thinking
131,about
132,going
133,because
134,your
135,husband
136,https://t.co/SjoFoNÃ¢â‚¬Â
137,I
138,hope
139,people
140,who
141,are
142,vocal
143,also
144,powering
145,their
146,homes
147,with
148,renewable
149,energy
150,@GoodEnergy
151,@tveitdal
152,We
153,only
154,5
155,percent
156,chance
157,avoiding
158,‘
159,dangerous
160,’
161,study
162,finds
163,https://t.co/xUBTqNxhkK
164,https://t.co/of
165,@Alifaith55
166,Oh
167,God
168,"

"
169,Trump
170,Government
171,removes
172,page
173,from
174,website
175,hours
176,ahead
177,climatemarch
178,https://t.co/9z
179,Fossil
180,fuel
181,giant
182,ExxonMobil
183,misled
184,public
185,Harvard
186,academics
187,conclude
188,https://t.co/ofc2WSu4EX
189,@GlblCtzn
190,'
191,wanna
192,live
193,forever
194,–
195,nothing
196,�
197,️
198,@taylorswift13
199,@zaynmalik
200,https://t.co/TuI64Zk9gV
201,@jackholmes0
202,Issues
203,scrubbed
204,https://t.co/T1VZSO9N7
205,G
206,Civil
207,rights
208,LGBT
209,healthcare
210,@patagonia
211,If
212,our
213,elected
214,leaders
215,fail
216,approach
217,environment
218,&
219,amp
220,;
221,as
222,serious
223,issues
224,worthy
225,urgency
226,action
227,wiÃ¢â‚¬Â
228,@SenSanders
229,president
230,-
231,elect
232,Millions
233,Mr.
234,TÃ¢â‚¬Â
235,Calum
236,*
237,tweets
238,abt
239,reunitingish
240,w
241,cast
242,"
"
243,-sees
244,replies
245,begging
246,him
247,come
248,countries-
249,goes
250,back
251,rting
252,@c40cities
253,46
254,C40
255,Mayors
256,representing
257,250
258,M
259,citizens
260,urged
261,G20
262,SaveOurPlanet
263,You
264,@World_Wildlife
265,How
266,impacts
267,wildlife
268,https://t.co/ozTap4cdlK
269,COP22
270,EarthToMarrakech
271,https://t.co/xm5XgpVhqY
272,met
273,this
274,guy
275,he
276,let
277,us
278,some
279,truth
280,gay
281,existing
282,https://t.co/Q7yOMcMZaj
283,https://t.co/KyNIBjmDk5
284,Scientists
285,wiped
286,out
287,an
288,entire
289,underwater
290,ecosystem
291,Again
292,climateÃ¢â‚¬Â
293,https://t.co/VZvJd3oXmI
294,@TammyGrubb
295,Obama
296,raises
297,better
298,vote
299,for
300,candidates
301,science
302,ObamaUNC
303,hate
304,mental
305,health
306,pretty
307,low
308,menu
309,when
310,hits
311,food
312,production
313,https://t.co/KgFpw1hmPW
314,Bangladesh
315,confronting
316,head
317,https://t.co/MTqeNBQDUt
318,https://t.co/itgkUxgEfg
319,Hey
320,There
321,Michael
322,vetted
323,approved
324,market
325,based
326,strategies
327,tackling
328,supported
329,by
330,majority
331,Cdns
332,cdnpoli
333,Sally
334,Kohn
335,latest
336,proves
337,smart
338,person
339,https://t.co/MhkzoGL9Vt
340,@twitchyteam
341,Need
342,more
343,@StarTalkRadio
344,First
345,The
346,understands
347,than
348,Congress
349,Why
350,JohnHoldren
351,@CoryBooker
352,@neiltyson
353,explain
354,htt
355,@Jnp_Ftw
356,these
357,same
358,scientists
359,denounce
360,choice
361,@Honey17011
362,A
363,guide
364,Paris
365,pact
366,US
367,role
368,DemForce
369,TheResistance
370,UniteBlue
371,https://t.co/RYiBLwAJZ4
372,@latimes
373,Atmospheric
374,rivers
375,fueled
376,could
377,decimate
378,wild
379,oysters
380,San
381,Francisco
382,Bay
383,https://t.co/p0LZBhlU5
384,K
385,https://t
386,Denying
387,ignores
388,basic
389,BGR
390,~
391,China
392,practically
393,says
394,lied
395,https://t.co/Rz37HtcS8d
396,@BernieSanders
397,ImVotingBecause
398,future
399,planet
400,at
401,stake
402,Hillary
403,Clinton
404,combat
405,Donald
406,thinks
407,iÃ¢â‚¬Â
408,@Independent
409,team
410,removed
411,data
412,White
413,House
414,They
415,may
416,breaking
417,law
418,@DeboraheHart
419,Toxic
420,soils
421,aquifers
422,vast
423,amts
424,wasted
425,(
426,+
427,waste
428,)
429,water
430,runaway
431,part
432,gas
433,fracking
434,don
435,@BettyBowers
436,America
437,Where
438,“
439,unproven
440,”
441,100
442,%
443,sure
444,called
445,Noah
446,fit
447,all
448,world
449,animals
450,hi
451,ve
452,dealt
453,simple
454,policy
455,Now
456,complex
457,Mal
458,vs
459,Tones
460,qanda
461,@ForAmerica
462,protested
463,support
464,WomansMarch
465,then
466,did
467,help
468,...
469,https://
470,2050
471,targets
472,nations
473,playing
474,long
475,game
476,fighting
477,https://t.co/dnegw2vfJd
478,@ConversationEDU
479,@thedailybeast
480,denial
481,cost
482,$
